fold,test_subject,y_true,y_pred,p1
10,S12,1,0,0.1575975865125656
10,S12,1,1,0.9999611377716064
10,S12,0,1,0.9972881078720093
10,S12,1,0,0.06647566705942154
10,S12,1,1,0.9997146725654602
11,S13,0,1,0.9227228164672852
11,S13,0,0,0.011915146373212337
11,S13,0,0,0.1578504890203476
11,S13,0,1,0.8972691893577576
11,S13,1,1,0.9829845428466797
11,S13,1,1,0.9968343377113342
12,S14,1,1,0.9999784231185913
12,S14,0,1,0.9973063468933105
12,S14,1,1,0.9993298053741455
12,S14,0,1,0.8327478766441345
12,S14,1,1,0.9854515194892883
12,S14,1,1,0.8811609148979187
12,S14,1,1,0.9461360573768616
12,S14,1,1,0.9984949827194214
13,S15,0,0,3.0230481570470147e-05
13,S15,0,0,0.2393893599510193
13,S15,0,0,0.0023154786322265863
13,S15,1,0,0.21033598482608795
13,S15,1,0,0.011366959661245346
13,S15,1,1,0.997859537601471
14,S16,0,0,0.0005949056358076632
14,S16,0,1,0.9981043338775635
14,S16,0,0,0.00017486634897068143
14,S16,0,0,8.00997659098357e-05
14,S16,0,0,0.0001988036383409053
14,S16,0,0,0.018021009862422943
14,S16,0,1,0.9999942779541016
14,S16,0,0,2.6912723114946857e-05
15,S17,0,1,0.9817979335784912
15,S17,1,0,0.054588742554187775
15,S17,1,1,0.9755503535270691
15,S17,1,0,0.00014590666978619993
15,S17,0,0,0.00028834404656663537
15,S17,1,0,0.00019559841894079
15,S17,1,1,0.9998871088027954
16,S18,0,0,2.884000787162222e-05
16,S18,1,0,0.00013406964717432857
16,S18,0,1,0.5144054889678955
16,S18,0,0,0.005992823280394077
16,S18,0,0,0.19090108573436737
16,S18,1,1,0.6530098915100098
16,S18,0,1,0.9887556433677673
16,S18,1,0,0.00013958921772427857
16,S18,0,1,0.62696373462677
16,S18,1,1,0.9876276254653931
16,S18,0,0,4.4842901843367144e-05
16,S18,1,0,0.0024800815153867006
16,S18,1,1,0.9661176204681396
16,S18,1,0,0.0008008952136151493
17,S19,0,1,0.9928765892982483
17,S19,0,1,0.9981691837310791
17,S19,0,1,0.9998272061347961
17,S19,1,1,0.9927863478660583
17,S19,0,1,0.9980406165122986
17,S19,0,1,0.9998217225074768
17,S19,0,0,0.0003967553493566811
17,S19,0,1,0.999723494052887
17,S19,1,1,0.7955765128135681
17,S19,0,0,0.000517415173817426
17,S19,0,0,0.0017274635611101985
17,S19,1,0,6.617199687752873e-05
17,S19,0,0,4.2308776755817235e-05
17,S19,1,1,0.9986212253570557
17,S19,1,0,0.1598876416683197
17,S19,1,0,0.0001322208991041407
17,S19,1,1,0.9532003402709961
18,S20,0,0,0.09661915898323059
18,S20,0,0,0.007606945466250181
18,S20,0,1,0.8641114234924316
18,S20,0,1,0.9999681711196899
18,S20,0,1,0.9999599456787109
18,S20,1,0,0.03360758721828461
18,S20,1,0,0.002389051951467991
19,S21,0,0,0.0009932804387062788
19,S21,0,1,0.9894760847091675
19,S21,0,0,0.05756765976548195
19,S21,0,1,0.9999866485595703
19,S21,0,1,0.9992848038673401
19,S21,1,0,0.002386455424129963
20,S22,1,0,0.00027298720669932663
20,S22,0,0,0.0001027485923259519
20,S22,1,0,0.1435425877571106
20,S22,1,0,0.0005945773446001112
20,S22,1,1,0.9999380111694336
20,S22,1,1,0.6478750109672546
20,S22,1,0,1.124269692809321e-05
20,S22,1,0,0.4311457872390747
20,S22,1,0,0.16977323591709137
20,S22,1,0,7.496315083699301e-05
20,S22,1,0,0.22849790751934052
20,S22,0,0,3.4853695979109034e-05
20,S22,1,0,0.022122425958514214
20,S22,1,1,0.999603807926178
21,S23,0,1,0.9351863265037537
21,S23,0,1,0.9999442100524902
21,S23,0,0,0.4902861416339874
21,S23,0,0,0.009995898231863976
21,S23,0,1,0.9979159235954285
21,S23,1,0,0.005502584856003523
21,S23,1,0,0.010817633010447025
21,S23,1,0,0.43354514241218567
21,S23,1,0,0.011468942277133465
21,S23,1,0,0.0012797584058716893
21,S23,1,0,0.0006902296445332468
21,S23,1,0,0.00019075041927862912
22,S24,0,1,0.9907887578010559
22,S24,0,1,0.9867026805877686
22,S24,0,1,0.6690927743911743
22,S24,0,1,0.9975591897964478
22,S24,0,1,0.9823278188705444
22,S24,0,1,0.980722963809967
22,S24,0,1,0.976590633392334
22,S24,1,1,0.9979597330093384
22,S24,1,1,0.9764983654022217
22,S24,1,1,0.9965189695358276
22,S24,1,1,0.9424362182617188
22,S24,1,1,0.6563412547111511
22,S24,0,1,0.9827982783317566
23,S25,0,0,0.010589191690087318
23,S25,0,0,0.0016982341185212135
23,S25,1,1,0.7887448668479919
23,S25,0,1,0.9302462339401245
23,S25,0,0,0.00018578059098217636
23,S25,1,0,0.0005074282526038587
23,S25,1,0,3.2072637168312212e-06
23,S25,1,0,0.00016875586879905313
23,S25,1,0,3.787140303757042e-05
23,S25,1,1,0.9992108345031738
23,S25,1,1,0.9903860092163086
23,S25,0,0,0.0007450893754139543
23,S25,0,0,0.02634090930223465
23,S25,1,1,0.552492618560791
24,S26,0,0,6.678845238639042e-05
24,S26,0,1,0.525421679019928
24,S26,1,0,0.0010454131988808513
24,S26,1,1,0.9992214441299438
24,S26,1,1,0.9596313834190369
24,S26,1,1,0.999306321144104
24,S26,1,1,0.9952270984649658
25,S27,0,0,2.3777920432621613e-05
25,S27,0,1,0.9999083280563354
25,S27,0,0,0.00888039916753769
25,S27,0,0,0.04535447806119919
25,S27,0,0,8.4961429820396e-05
25,S27,0,0,0.0001583037810632959
25,S27,1,0,5.4110510063765105e-06
26,S28,1,1,0.9393833875656128
26,S28,0,0,0.0006502169999293983
26,S28,0,1,0.8932702541351318
26,S28,0,0,0.0033663755748420954
26,S28,1,1,0.8300069570541382
26,S28,1,0,0.0002229218662250787
26,S28,0,1,0.9999376535415649
27,S29,0,0,0.045680850744247437
27,S29,1,1,0.7560731172561646
27,S29,1,0,0.0072330585680902
27,S29,1,1,0.9984219074249268
27,S29,1,0,3.5754655982600525e-05
27,S29,1,1,0.9500718116760254
27,S29,1,0,9.44331259233877e-06
27,S29,1,0,0.000434050802141428
27,S29,0,0,7.228673348436132e-05
27,S29,1,1,0.9969118237495422
27,S29,1,0,0.00013862093328498304
27,S29,1,1,0.9999014139175415
27,S29,1,1,0.9998151659965515
27,S29,1,1,0.7724097967147827
27,S29,1,0,0.0004487177066039294
27,S29,1,1,0.9010652303695679
27,S29,1,0,1.5110214917513076e-05
27,S29,1,1,0.9997151494026184
27,S29,0,0,1.2025051546515897e-05
27,S29,1,1,0.7354770302772522
28,S30,0,1,0.9917761087417603
28,S30,1,1,0.9999454021453857
28,S30,0,1,0.9920939803123474
28,S30,0,1,0.9999657869338989
28,S30,0,1,0.999955415725708
28,S30,0,1,0.9998257756233215
28,S30,0,1,0.9485187530517578
28,S30,0,1,0.999984622001648
28,S30,0,1,0.9981842637062073
28,S30,0,0,0.2727556824684143
28,S30,0,1,0.9731358289718628
28,S30,1,0,6.340181425912306e-05
28,S30,0,1,0.9883727431297302
29,S31,0,1,0.9990794658660889
29,S31,0,0,2.472097366990056e-05
29,S31,0,0,0.029517697170376778
29,S31,0,1,0.9994902610778809
29,S31,0,1,0.9999549388885498
29,S31,0,1,0.9999412298202515
29,S31,0,1,0.9922444224357605
29,S31,0,1,0.9999798536300659
30,S32,0,1,0.854880154132843
30,S32,0,1,0.9933592677116394
30,S32,0,0,0.4231524169445038
30,S32,0,0,0.014722049236297607
30,S32,0,0,0.0011669484665617347
30,S32,0,0,0.03409813344478607
30,S32,1,0,0.11442039906978607
31,S33,1,1,0.8763258457183838
31,S33,1,0,0.001642918330617249
31,S33,1,1,0.9974913597106934
31,S33,1,1,0.9793365597724915
31,S33,1,1,0.9999837875366211
31,S33,1,0,0.00212543155066669
32,S34,0,0,0.001799131976440549
32,S34,0,0,0.11016479879617691
32,S34,1,1,0.759496808052063
32,S34,0,0,0.0005883711855858564
32,S34,0,0,2.95515146717662e-05
32,S34,0,0,0.0005036215879954398
32,S34,1,1,0.9996496438980103
33,S35,0,1,0.9974825978279114
33,S35,0,0,1.0455994015501346e-05
33,S35,0,0,0.43378180265426636
33,S35,0,1,0.9965049028396606
33,S35,0,0,0.0014348350232467055
33,S35,1,0,0.0009389620390720665
34,S36,0,0,0.00017909848247654736
34,S36,1,0,0.3539470136165619
34,S36,1,0,0.38085728883743286
34,S36,1,1,0.9758358597755432
34,S36,1,0,0.00046255928464233875
34,S36,1,0,0.001280237571336329
34,S36,1,0,0.49524757266044617
35,S37,0,0,2.470452272973489e-05
35,S37,0,0,0.00018642740906216204
35,S37,0,0,0.0019651467446237803
35,S37,0,0,3.913524415111169e-05
35,S37,0,0,0.002421548357233405
35,S37,0,1,0.8979536890983582
35,S37,1,0,0.0056447796523571014
35,S37,1,1,0.999901294708252
36,S38,0,1,0.9999759197235107
36,S38,0,0,0.06985779851675034
36,S38,0,0,9.799974213819951e-05
36,S38,0,1,0.9812602996826172
36,S38,1,0,4.885382440988906e-05
36,S38,0,1,0.9374865293502808
36,S38,1,0,0.00017675576964393258
36,S38,1,1,0.999687910079956
36,S38,1,0,0.007984028197824955
36,S38,1,1,0.9998723268508911
37,S39,0,1,0.9987425208091736
37,S39,0,0,0.002273083198815584
37,S39,0,0,8.421201528108213e-06
37,S39,1,1,0.999024510383606
37,S39,1,1,0.998636782169342
37,S39,0,1,0.9780741930007935
37,S39,1,1,0.9999854564666748
38,S40,0,1,0.9230407476425171
38,S40,0,1,0.9577975273132324
38,S40,0,1,0.999722421169281
38,S40,1,1,0.9999306201934814
38,S40,0,1,0.9992722868919373
38,S40,1,1,0.9949748516082764
38,S40,0,1,0.9998683929443359
39,S41,1,1,0.9998828172683716
39,S41,1,0,0.01705305278301239
39,S41,1,1,0.9998863935470581
39,S41,1,0,0.27848464250564575
39,S41,1,0,0.0038245872128754854
39,S41,1,0,0.4822312891483307
39,S41,1,1,0.9999698400497437
39,S41,1,0,0.00043988885590806603
39,S41,1,1,0.9739813208580017
40,S42,0,1,0.9986661672592163
40,S42,1,1,0.9997029900550842
40,S42,0,0,0.00015396073285955936
40,S42,0,1,0.9659220576286316
40,S42,1,1,0.9973446726799011
40,S42,0,0,0.032239045947790146
40,S42,0,1,0.6776065826416016
41,S43,0,1,0.999836802482605
41,S43,1,1,0.9999964237213135
41,S43,1,1,0.9983282685279846
41,S43,1,1,0.9997513890266418
41,S43,1,1,0.9429746270179749
41,S43,0,1,0.9999889135360718
41,S43,1,1,0.6212505102157593
42,S44,1,1,0.590327799320221
42,S44,1,1,0.9999692440032959
42,S44,1,0,0.3191886246204376
42,S44,1,0,0.003475573845207691
42,S44,1,0,0.3737921714782715
42,S44,1,1,0.9999715089797974
42,S44,1,0,0.17907021939754486
